id,name,drilling_started,drilling_completed,client_name,owner_name,depth_meters,purpose_is,method_is,drill_name,drill_operator_name,length_meters,is_closed,location_name,isn93_east,isn93_north,wgs84_latitude,wgs84_longitude
23074,VL-04,1958-02-22 00:00:00.0000000,1958-02-27 00:00:00.0000000,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Hafnaheiði,321355,383355,"63° 54' 27.10""N","22° 38' 25.97""W"
23075,VL-05,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Hafnaheiði,321360,383360,"63° 54' 27.27""N","22° 38' 25.62""W"
23076,VL-06,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,321230,397720,"64° 2' 9.96""N","22° 39' 36.7""W"
23077,VL-07,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,321681.7,397517.2,"64° 2' 4.26""N","22° 39' 1.99""W"
23078,VL-08,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,321640,397545,"64° 2' 5.8""N","22° 39' 5.17""W"
23079,"VL-09, DYE-5",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Básendar,317796,389430,"63° 57' 36.25""N","22° 43' 12.67""W"
23080,"WL-10, #2091",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,326105,389530,"63° 57' 54.89""N","22° 33' 3.66""W"
23082,WL-20,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,324798.4,390520.7,"63° 58' 24.46""N","22° 34' 43.62""W"
23083,WL-30,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,327208,388230,"63° 57' 14.97""N","22° 31' 37.41""W"
23084,"WL-31, #31",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,324628.6,389186.7,"63° 57' 41.14""N","22° 34' 50.53""W"
23085,"WL-32, #32",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,324594.1,389844.8,"63° 58' 2.29""N","22° 34' 55.80""W"
23086,"WL-34, #34",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Njarðvíkurheiði,324547,390981.2,"63° 58' 38.84""N","22° 35' 3.99""W"
